outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	CRHBP	Wald ratio	1	-0.0377304704527864	0.0418263839547929	0.367017851760929	0.915338819823354	0.962972455446104	1.04524284094428	0.887177518585206
I35.0 and I35.2 UKB	IL12RB2	Wald ratio	1	-0.0149964607020046	0.085808773337746	0.861263462876705	0.980850561285113	0.985115426213946	1.1655449373555	0.832616891774707
I35.0 and I35.2 UKB	CD7	Wald ratio	1	0.0618733765771072	0.0500487129073249	0.216360785391584	0.85896874622625	1.06382763070327	1.17347432124527	0.964426069968673
I35.0 and I35.2 UKB	AMY1A	Wald ratio	1	0.0162608174914689	0.0495727301696587	0.74289699001064	0.980031146911782	1.0163937441053	1.12010605033556	0.922284316513527
I35.0 and I35.2 UKB	CCL3L1	Wald ratio	1	-0.0175080138184665	0.0609056881274894	0.773759311974846	0.980031146911782	0.982644360899994	1.10723634889882	0.872072110863109
I35.0 and I35.2 UKB	PLXNC1	Inverse variance weighted	2	0.0196214818800313	0.032324804963657	0.543844234311894	0.946163957487058	1.01981524840949	1.08651801311814	0.957207453840359
I35.0 and I35.2 UKB	NRP1	Wald ratio	1	-0.0324052530718877	0.07660541821606	0.672284201959407	0.967189539621898	0.968114171329868	1.12495312332377	0.833141425449399
I35.0 and I35.2 UKB	RARRES2	Wald ratio	1	0.0746954983687833	0.061772712020339	0.226586421924572	0.85896874622625	1.07755598336873	1.21624715326144	0.954680053457989
I35.0 and I35.2 UKB	GALP	Wald ratio	1	0.0459846885738847	0.130187517356505	0.723924357648163	0.979575966467969	1.04705837887719	1.35141504178289	0.81124688928323
I35.0 and I35.2 UKB	DYNLL2	Wald ratio	1	-0.0242410749165764	0.13815388467492	0.860714818621493	0.980850561285113	0.97605038012905	1.27959105556717	0.744514695070132
I35.0 and I35.2 UKB	ESD	Wald ratio	1	0.0455671392815966	0.043218250480323	0.291722949660562	0.914143979907995	1.04662127165537	1.13914150192725	0.961615466057743
I35.0 and I35.2 UKB	C4BPA	Wald ratio	1	-0.00040516760672346	0.0729324829500829	0.995567471419708	0.998792183249594	0.999594914462587	1.15320208982324	0.86644830237224
I35.0 and I35.2 UKB	SLAMF7	Wald ratio	1	-0.0098093412306192	0.0243057368043268	0.686520627826287	0.975295233501172	0.990238613427775	1.03855456274016	0.944170433314727
I35.0 and I35.2 UKB	REG3G	Wald ratio	1	0.0771985229117942	0.0521167010971315	0.138536596541125	0.818529203991075	1.08025651077483	1.1964361429387	0.975358472709728
I35.0 and I35.2 UKB	PDCD5	Wald ratio	1	-0.12016885282994	0.0633668218489948	0.0579071471240484	0.67802272248655	0.886770690334392	1.00403824984004	0.783199501972572
I35.0 and I35.2 UKB	SCARA5	Wald ratio	1	0.0108411941788375	0.0895561233850173	0.903647669325885	0.980850561285113	1.01090017286489	1.20486942010604	0.848157603176885
I35.0 and I35.2 UKB	TF	Wald ratio	1	0.0267360878927694	0.0952417347580403	0.778926551908642	0.980031146911782	1.02709670373649	1.23789194434604	0.852196868753091
I35.0 and I35.2 UKB	ORM1	Wald ratio	1	0.132973340161971	0.0987072055680499	0.17793216180807	0.853276546400775	1.14221954653687	1.38602434157213	0.941300562594051
I35.0 and I35.2 UKB	CD33	Wald ratio	1	0.0329481830842432	0.0231068260568581	0.153895212796293	0.832472969204951	1.0334969852276	1.08137952300885	0.987734644264934
I35.0 and I35.2 UKB	NTN1	Wald ratio	1	-0.0120519712617349	0.0558533583091711	0.829160165402408	0.980850561285113	0.988020362862702	1.10232392572206	0.885569309213636
I35.0 and I35.2 UKB	CNP	Wald ratio	1	-0.0154275730532569	0.123337946284753	0.900457246496498	0.980850561285113	0.984690822318864	1.25397035510589	0.773236792728742
I35.0 and I35.2 UKB	ERO1B	Wald ratio	1	-0.0132307473402024	0.0544655890755232	0.808067849105632	0.980850561285113	0.986856394257874	1.09803454819172	0.886935246701915
I35.0 and I35.2 UKB	BTD	Wald ratio	1	-0.0330966125389246	0.030215775295867	0.273366764207995	0.886718908727708	0.967445087747631	1.02647059074887	0.911813749212428
