outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	MMP7	Wald ratio	1	-0.0253265649338029	0.0740688274104398	0.732401430542739	0.9822509460964	0.974991462011608	1.12732586475488	0.843241852880074
I35.0 and I35.2 UKB	IGFBPL1	Wald ratio	1	0.0525042615093857	0.0529319131209749	0.321236199495056	0.904656271151124	1.05390705330377	1.16911939458975	0.95004845710663
I35.0 and I35.2 UKB	CPA2	Wald ratio	1	0.0244726255116148	0.0586659677599486	0.6765672352714	0.9822509460964	1.02477453804454	1.14965043007867	0.913462759068892
I35.0 and I35.2 UKB	TPP1	Wald ratio	1	0.0927883249018853	0.0740242890947782	0.2100293092553	0.855327224845981	1.09722945453248	1.26855179577771	0.949044792574331
I35.0 and I35.2 UKB	PLA2G10	Wald ratio	1	-0.116886806519389	0.116202178797492	0.314467672009516	0.904656271151124	0.889685894106963	1.11724905602724	0.708473178744497
I35.0 and I35.2 UKB	CNTN3	Wald ratio	1	0.0330321733113347	0.0772214852215093	0.668826702884741	0.9822509460964	1.03358379251952	1.2024802326831	0.888409993880176
I35.0 and I35.2 UKB	LGALS7_LGALS7B	Wald ratio	1	-0.111934756977414	0.0917814805475791	0.222624549602022	0.855327224845981	0.894102589552901	1.07031922478101	0.746898142289063
I35.0 and I35.2 UKB	PRDX1	Wald ratio	1	0.103266351750138	0.307020789523025	0.736607172395623	0.9822509460964	1.10878669702631	2.02390153032246	0.607444542673301
I35.0 and I35.2 UKB	ADAMTS15	Wald ratio	1	0.386062538258272	0.243675628422383	0.113118707721511	0.785459855281078	1.47117667276462	2.37184176638437	0.912523269115933
I35.0 and I35.2 UKB	WWP2	Wald ratio	1	0.0139550636059418	0.124516680651241	0.910764852623024	0.985377031012477	1.01405289003439	1.29434885973263	0.794456035600409
I35.0 and I35.2 UKB	CD302	Wald ratio	1	-0.0878097779875414	0.0732243981411218	0.230455072953658	0.855327224845981	0.915935091169413	1.05729106967244	0.793477893930793
I35.0 and I35.2 UKB	EGFR	Wald ratio	1	0.164101698254557	0.120568919753634	0.173494298371062	0.844762814058051	1.17833414352513	1.49244659137606	0.930332356159494
I35.0 and I35.2 UKB	ANPEP	Wald ratio	1	0.0505234861487695	0.0539420805320397	0.348951630984175	0.919334325255757	1.0518215663027	1.16911840407138	0.946293038828866
I35.0 and I35.2 UKB	GP6	Wald ratio	1	-0.061204482144829	0.0675660059335673	0.365016696277918	0.925805587782519	0.940630877889991	1.07382269014768	0.823959538719016
I35.0 and I35.2 UKB	OMD	Wald ratio	1	0.0631566802413395	0.28904432953028	0.827038226191604	0.9822509460964	1.0651937209667	1.87701653365794	0.604489967371625
I35.0 and I35.2 UKB	SIRPB1	Wald ratio	1	0.0211572886778162	0.0318933655690406	0.507089865228483	0.946287964679687	1.02138269093683	1.08726817103223	0.959489690896538
I35.0 and I35.2 UKB	FLT3	Wald ratio	1	0.436216958480766	0.258811030333991	0.0918988732389839	0.726447337515066	1.54684435934845	2.5689225710127	0.931412841728775
I35.0 and I35.2 UKB	ULBP2	Wald ratio	1	-0.022195570987641	0.0433310927959899	0.60848867140501	0.975255634190281	0.978048938348943	1.06474290992929	0.898413801946823
I35.0 and I35.2 UKB	CA13	Wald ratio	1	0.0113371319485104	0.0780939743561765	0.884574329368548	0.9822509460964	1.01140164078014	1.17868725294261	0.867858099270179
I35.0 and I35.2 UKB	ENTPD5	Wald ratio	1	0.0110298109478704	0.0469491028424155	0.814262102022574	0.9822509460964	1.01109086357248	1.10854689325188	0.922202516305689
I35.0 and I35.2 UKB	DNMBP	Wald ratio	1	-0.0309421743508449	0.184153935513391	0.866564853230832	0.9822509460964	0.969531635251279	1.39096748758288	0.6757825759008
I35.0 and I35.2 UKB	PRSS2	Wald ratio	1	-0.256876924872488	0.150614653210864	0.0880967165039528	0.714781009774399	0.773463402014505	1.03907178003193	0.575750054762787
I35.0 and I35.2 UKB	ALDH3A1	Wald ratio	1	-0.0294682707316673	0.0446324532297767	0.509097817023307	0.946287964679687	0.970961685056289	1.05972701040175	0.889631560386425
I35.0 and I35.2 UKB	KLK8	Wald ratio	1	0.0741127973597728	0.047779005928737	0.120863773956467	0.797186594180955	1.07692827331136	1.18265232479253	0.980655499122152
I35.0 and I35.2 UKB	TNFAIP8	Wald ratio	1	0.401690244188663	0.26218795103275	0.125505208872102	0.797917280331485	1.49434837788406	2.49822037456084	0.893867129266881
I35.0 and I35.2 UKB	PCOLCE	Wald ratio	1	-0.00226118303507363	0.124347868411162	0.985491801102851	0.995486063943673	0.997741371513489	1.27310734321785	0.781935513712036
I35.0 and I35.2 UKB	NFATC1	Wald ratio	1	0.26213159702626	0.186725857005733	0.160369099915965	0.827465689700105	1.29969756751086	1.87407326160393	0.901359515448149
I35.0 and I35.2 UKB	TIMP3	Wald ratio	1	-0.115410128643892	0.0352805474819483	0.00107087832471112	0.124489605247668	0.891000644075118	0.954793439532721	0.831470048779141
I35.0 and I35.2 UKB	MGMT	Wald ratio	1	-0.072343504076734	0.05131734326949	0.158619965394994	0.827465689700105	0.930211309547702	1.02864097445194	0.841200284551643
I35.0 and I35.2 UKB	IL16	Wald ratio	1	0.00443618026642928	0.0368119281188353	0.904079700581225	0.983384937474315	1.0044460346807	1.07959671501716	0.934526589931093
I35.0 and I35.2 UKB	IFNL1	Wald ratio	1	0.59881598911621	0.380172926551249	0.115229956992337	0.785459855281078	1.81996266859293	3.83417744367037	0.863878671171034
I35.0 and I35.2 UKB	PRTG	Wald ratio	1	-0.0790075020398299	0.0495790500536586	0.111033213490333	0.785459855281078	0.924032992286772	1.01833346786525	0.838464999706196
I35.0 and I35.2 UKB	TNFSF11	Wald ratio	1	-0.104905009384755	0.183717631864821	0.567991372091808	0.972360715161869	0.900410049028627	1.29069592424855	0.628140401747803
I35.0 and I35.2 UKB	PAMR1	Wald ratio	1	-0.0969191290032086	0.0596244495876724	0.104057541422622	0.756043074398739	0.907629404059974	1.02014501849832	0.807523558098537
I35.0 and I35.2 UKB	MSLN	Wald ratio	1	0.00657631142989386	0.034443727224779	0.848581104865094	0.9822509460964	1.00659798284585	1.07689943294528	0.940885906400908
I35.0 and I35.2 UKB	CD300LG	Wald ratio	1	-0.00389765897570762	0.0550081329779412	0.943512323081984	0.990106740313075	0.996109927037939	1.10950978391431	0.894300348792744
I35.0 and I35.2 UKB	KLB	Wald ratio	1	0.0131606226200445	0.0286152611651978	0.645576360561706	0.9822509460964	1.01324760477484	1.07170038770578	0.957982959005702
I35.0 and I35.2 UKB	SORD	Wald ratio	1	0.124190726309395	0.149367284357884	0.405722118126248	0.928441460984209	1.13223179679914	1.51732756064195	0.844872837570181
I35.0 and I35.2 UKB	PEAR1	Wald ratio	1	0.141038544972374	0.101573011657704	0.164971608751954	0.833823892061507	1.15146903047135	1.40511850977304	0.943607901335518
