beta,se,tval,pval,outcome,population,fdr,Effect_lib,Effect,Outcome
0.0237134928366123,0.00926068506835006,2.56066291657592,0.0104514074833285,eng,white_british,0.0294046329771338,Upregulated,Unchanged,ENG
0.0554385835842391,0.0426390857279533,1.30018227731123,0.193547145805737,eno1,white_british,0.318156712712127,Unchanged,Unchanged,ENO1
0.0184326930127225,0.0354740373604267,0.519610802273247,0.603338152167439,eno2,white_british,0.716464055698834,Unchanged,Unchanged,ENO2
0.0565996637571018,0.0145311270649789,3.89506357655568,9.83546401309926e-05,enpp2,white_british,0.000563468306283996,Upregulated,Unchanged,ENPP2
-0.0928283653160402,0.0234380901004388,-3.96057720224833,7.49172419028788e-05,enpp5,white_british,0.000438415699615647,Downregulated,Unchanged,ENPP5
0.118012176360898,0.0479619389274962,2.46053806413656,0.0138778727288804,enpp7,white_british,0.037306059806399,Upregulated,Unchanged,ENPP7
-0.00132696064151608,0.0238467943859095,-0.0556452418736898,0.955624750952303,entpd2,white_british,0.973592625796114,Unchanged,Unchanged,ENTPD2
-0.0161817212406107,0.0114377731873359,-1.41476150781933,0.157147569895662,entpd5,white_british,0.270308941971152,Unchanged,Unchanged,ENTPD5
0.0514391457315395,0.0150604816676134,3.41550468748661,0.000637381419587251,entpd6,white_british,0.00280870185800045,Upregulated,Unchanged,ENTPD6
-0.105921067724333,0.0528588303483827,-2.00384811820896,0.0450940893382049,epcam,white_british,0.100556450470299,Unchanged,Unchanged,EPCAM
0.0128920058918173,0.0186772571806705,0.690251559268538,0.49004060489388,epha1,white_british,0.622334552916447,Unchanged,Unchanged,EPHA1
0.0259432740512036,0.0355619908215379,0.729522545050861,0.465687127722626,epha10,white_british,0.602920591024957,Unchanged,Unchanged,EPHA10
0.0869378686550804,0.0167650817718813,5.18565133400626,2.16512396174696e-07,epha2,white_british,2.6274527981303e-06,Upregulated,Upregulated,EPHA2
0.0381104804743739,0.0132327084741735,2.88002116488508,0.0039788876412498,ephb4,white_british,0.0130811519531426,Upregulated,Unchanged,EPHB4
0.0184553338555833,0.0172141785760975,1.07210075543246,0.28368230027784,ephb6,white_british,0.423065448834332,Unchanged,Unchanged,EPHB6
0.00316774461095636,0.0334118950924353,0.0948088877387131,0.924467184674772,ephx2,white_british,0.955827202246778,Unchanged,Unchanged,EPHX2
0.285421010813546,0.0415540555480615,6.86866798075646,6.58968552873904e-12,epo,white_british,2.60559727798519e-10,Upregulated,Upregulated,EPO
0.0570783442994555,0.0166864162189183,3.42064728283254,0.000625437455221387,eps8l2,white_british,0.00276439576129574,Upregulated,Unchanged,EPS8L2
0.0255758186784366,0.0139445897846715,1.83410333852565,0.0666471866769785,erbb2,white_british,0.137913485301866,Unchanged,Unchanged,ERBB2
-0.0308041692382923,0.0106128440680021,-2.90253668488048,0.00370387420181175,erbb3,white_british,0.0123434349823476,Downregulated,Unchanged,ERBB3
-0.00434314371093572,0.0130327457787051,-0.333248555959115,0.738948675341898,erbb4,white_british,0.817762414542509,Unchanged,Unchanged,ERBB4
0.0220244980238034,0.0559007281338918,0.39399304372299,0.693588606920671,erbin,white_british,0.788438330944011,Unchanged,Unchanged,ERBIN
0.0339645356525063,0.0437582327336619,0.776186183277424,0.437644398992728,ereg,white_british,0.577496975582051,Unchanged,Unchanged,EREG
0.0182907316975769,0.014208496650935,1.28730942807896,0.19799509891122,erp44,white_british,0.323650089058229,Unchanged,Unchanged,ERP44
0.0253604132352591,0.0168825481372361,1.50216738783195,0.133062872640225,esam,white_british,0.236806197362445,Unchanged,Unchanged,ESAM
0.0315123969018818,0.0191031225562883,1.64959402888344,0.0990350479021111,esm1,white_british,0.189149184178575,Unchanged,Unchanged,ESM1
0.0550183426674034,0.0134762537181203,4.08261404231541,4.46307455411788e-05,ezr,white_british,0.000274347818179599,Upregulated,Unchanged,EZR
0.0210665143243916,0.0304061450670779,0.69283739447791,0.488416237792363,f11r,white_british,0.621173207051353,Unchanged,Unchanged,F11R
0.0690204422717759,0.0311506866893293,2.21569569108147,0.026718792191533,f2r,white_british,0.0650409200935321,Unchanged,Unchanged,F2R
-0.0108282506682949,0.0144192954030864,-0.75095560258632,0.452684458661113,f3,white_british,0.591320757786598,Unchanged,Unchanged,F3
-0.0823100428176568,0.0168681727264324,-4.87960635408228,1.06767360111179e-06,f7,white_british,1.09231222267591e-05,Downregulated,Downregulated,F7
0.00969236825388016,0.0104818443513941,0.924681566425958,0.355137982804206,f9,white_british,0.49482558937386,Unchanged,Unchanged,F9
0.323143032188717,0.0533975876864458,6.05164102330305,1.44844286680011e-09,fabp1,white_british,3.02724559161223e-08,Upregulated,Upregulated,FABP1
0.0892435683041752,0.042871170264408,2.08166858412694,0.03738005437683,fabp2,white_british,0.0866672259164854,Unchanged,Unchanged,FABP2
0.259336655444352,0.0334658986415111,7.74928108826191,9.48940633912005e-15,fabp4,white_british,6.6109530829203e-13,Upregulated,Upregulated,FABP4
0.136350068528401,0.037689026573532,3.61776572452408,0.000297576561144502,fabp5,white_british,0.0014273918326374,Upregulated,Unchanged,FABP5
