beta.x,se.x,tval.x,pval.x,outcome,population,fdr.x,Effect_lib.x,Effect,Outcome.x
0.0653955729789079,0.0142293013634437,4.59583863666807,4.32023697352877e-06,fas,all,1.6502628439354e-05,Upregulated,Upregulated,FAS
0.0973073625828178,0.0208076856140429,4.676510611884,2.92537326236204e-06,fcar,all,1.13523105645508e-05,Upregulated,Upregulated,FCAR
0.101784812922453,0.0232828326769466,4.37166792953137,1.23546719550444e-05,fcrl3,all,4.38710802675484e-05,Upregulated,Upregulated,FCRL3
0.308166067618438,0.053927011297321,5.71450299589934,1.10625971192346e-08,fgf21,all,5.91277444338068e-08,Upregulated,Upregulated,FGF21
0.0676561522017995,0.0122641275025325,5.51658910817984,3.47312451292379e-08,flrt2,all,1.76429901472483e-07,Upregulated,Upregulated,FLRT2
0.0764948491403634,0.0159278858836066,4.80257390713062,1.5707689353548e-06,furin,all,6.33067480006632e-06,Upregulated,Upregulated,FURIN
0.0877857163079254,0.0125268468523737,7.00780630133519,2.45025964311678e-12,gfra1,all,1.99151658771103e-11,Upregulated,Upregulated,GFRA1
-0.110913428630607,0.0243416943912477,-4.55652046434728,5.21280767340142e-06,gpc5,all,1.97573513631769e-05,Downregulated,Downregulated,GPC5
0.0607743217885678,0.010551505459801,5.75977731519974,8.47048986078425e-09,grn,all,4.60681288711054e-08,Upregulated,Upregulated,GRN
0.0678913838712266,0.0143865083769816,4.71910084728084,2.37513270730665e-06,guca2a,all,9.31586903696951e-06,Upregulated,Upregulated,GUCA2A
0.0958840810161577,0.0124329995614839,7.71206341172863,1.26016343874019e-14,hla_e,all,1.34570738020212e-13,Upregulated,Upregulated,HLA_E
-0.083908581178611,0.0162607174130083,-5.16020167175931,2.4761880336972e-07,hpgds,all,1.09446014903293e-06,Downregulated,Downregulated,HPGDS
-0.0759416087222218,0.0178578529565994,-4.25256098293483,2.11712140602293e-05,hsd11b1,all,7.25374383375069e-05,Downregulated,Downregulated,HSD11B1
-0.0392237423466593,0.00824656248754788,-4.75637484174603,1.97635363671035e-06,icoslg,all,7.85707981116098e-06,Downregulated,Downregulated,ICOSLG
0.0792790667927228,0.0129375580637604,6.12782307155728,8.97358660102526e-10,igfbp6,all,5.47014883220832e-09,Upregulated,Upregulated,IGFBP6
0.075330328014944,0.0131819461244106,5.71465907264222,1.1052878083225e-08,igsf8,all,5.91277444338068e-08,Upregulated,Upregulated,IGSF8
0.19349198857432,0.0343970923582321,5.62524258036633,1.86210090792481e-08,il12a_il12b,all,9.87048416048549e-08,Upregulated,Upregulated,IL12A_IL12B
0.132260711500309,0.024297919651247,5.44329363989487,5.25398131530509e-08,il12b,all,2.61448117833039e-07,Upregulated,Upregulated,IL12B
0.0846875069578478,0.0161823529636182,5.23332466843638,1.67150990875605e-07,il12rb1,all,7.81284024444122e-07,Upregulated,Upregulated,IL12RB1
0.0681318859912566,0.0150236757943355,4.53496780175095,5.77443995864054e-06,il15ra,all,2.16061525818187e-05,Upregulated,Upregulated,IL15RA
0.0931543606325864,0.0133041713431932,7.00189122866691,2.55598482539715e-12,il18bp,all,2.06597005500333e-11,Upregulated,Upregulated,IL18BP
0.206152387294927,0.0305609404171173,6.74561661000001,1.54024580529243e-11,il19,all,1.15557928879119e-10,Upregulated,Upregulated,IL19
-0.0869935338613148,0.0192716246556646,-4.51407369205608,6.37346523457136e-06,il1rap,all,2.34949300005617e-05,Downregulated,Downregulated,IL1RAP
0.103850104158022,0.0198842451368702,5.22273304534242,1.76978839139283e-07,il1rl1,all,8.19367220445478e-07,Upregulated,Upregulated,IL1RL1
0.0972747808865177,0.0156210472647974,6.22716129319513,4.78621523406967e-10,il4r,all,3.07115477519471e-09,Upregulated,Upregulated,IL4R
0.0316661552067785,0.00750177646220126,4.22115419811998,2.4347046566251e-05,il6st,all,8.28365793637796e-05,Upregulated,Upregulated,IL6ST
-0.0519026126478966,0.00723671814618292,-7.17212023453934,7.48271079373464e-13,itgav,all,6.55521310852322e-12,Downregulated,Downregulated,ITGAV
